Cloudiness,Country,Date,Maximum Temperature,Humidity,Latitude,Longitude,Wind Speed,City
99,RU,1666236076,36.14,72,65.8522,44.24,18.79,Mezen'
6,JP,1666236007,56.32,60,42.3339,142.3669,19.08,Shizunai-furukawachō
20,AU,1666235917,68.22,66,-42.8794,147.3294,16.11,Hobart
97,CO,1666236077,73.87,84,3.1533,-75.0531,3.83,Baraya
82,RU,1666235869,35.49,94,59.7035,30.7861,4.85,Nikolskoye
0,US,1666235929,74.95,21,37.1041,-113.5841,4.61,Saint George
100,CL,1666236077,53.22,96,-41.8697,-73.8203,19.26,Ancud
20,ZA,1666235832,70.11,89,-33.918,25.5701,25.32,Port Elizabeth
99,PT,1666235869,62.78,83,38.5167,-28.7,3.0,Ribeira Grande
100,RU,1666236079,32.2,98,73.5069,80.5464,21.61,Dikson
2,PF,1666236079,77.2,72,-9.8,-139.0333,13.11,Atuona
61,ZA,1666236080,68.18,87,-33.5906,26.891,1.01,Port Alfred
62,EC,1666235870,68.23,79,-0.7393,-90.3518,7.7,Puerto Ayora
62,MR,1666236080,85.01,18,20.5169,-13.0499,8.14,Atar
100,RU,1666236081,16.56,93,67.45,153.6833,21.47,Srednekolymsk
13,ZA,1666236081,59.81,89,-34.4187,19.2345,10.74,Hermanus
89,GH,1666236081,70.05,99,7.0805,-2.1697,1.9,Boma
100,IS,1666236082,44.08,76,64.8945,-23.7142,20.31,Olafsvik
20,MY,1666235960,85.93,74,5.4112,100.3354,4.61,George Town
21,RE,1666236082,71.19,75,-21.3585,55.7679,6.24,Saint-Philippe
0,IN,1666235825,77.04,47,28.4667,77.0333,0.0,Gurgaon
100,PF,1666236083,71.08,71,-23.1203,-134.9692,18.34,Rikitea
63,LY,1666236083,68.76,58,29.1081,21.2869,6.42,Awjilah
20,US,1666236058,47.71,66,57.79,-152.4072,16.11,Saint Paul Harbor
0,GL,1666236083,-0.6,63,77.484,-69.3632,11.1,Qaanaaq
100,CA,1666236084,26.6,80,69.4541,-133.0374,4.61,Tuktoyaktuk
0,JP,1666236084,66.6,49,35.7333,140.8333,12.19,Hasaki
75,CA,1666236085,26.33,68,63.7506,-68.5145,17.27,Iqaluit
86,NC,1666236085,71.1,64,-22.6667,167.4833,18.07,Vao
0,US,1666235915,53.65,19,40.973,-117.7357,0.0,Winnemucca
75,CA,1666236086,33.91,100,49.7502,-77.6328,2.3,Matagami
97,NZ,1666236086,56.48,90,-46.1927,168.8643,13.2,Mataura
73,NZ,1666236086,52.57,69,-46.1333,167.6833,17.65,Tuatapere
16,NE,1666236088,82.65,21,13.6393,4.0287,4.61,Dogondoutchi
7,AR,1666236088,66.6,54,-40.8135,-62.9967,18.34,Viedma
100,AU,1666236088,72.01,56,-28.7667,114.6,11.5,Geraldton
20,ZA,1666235828,59.92,82,-33.9258,18.4232,3.44,Cape Town
75,RU,1666236089,37.9,93,64.75,177.4833,13.42,Anadyr
35,FO,1666236089,43.72,72,62.2266,-6.589,17.29,Klaksvík
0,US,1666236023,45.63,87,32.3502,-85.1999,0.0,Russell
75,CK,1666236089,77.05,78,-21.2078,-159.775,18.41,Avarua
100,RU,1666236090,32.94,93,69.3833,178.4167,24.32,Leningradskiy
100,RU,1666236090,14.41,88,66.7697,123.3711,4.18,Zhigansk
100,RU,1666236091,36.99,59,52.655,90.0928,2.59,Abaza
58,US,1666236091,42.22,81,42.6001,-73.9662,6.69,Albany
100,US,1666236091,75.18,83,22.0752,-159.319,18.41,Kapaa
100,VE,1666236092,69.98,96,7.7669,-72.225,2.26,San Cristobal
100,RU,1666236092,33.08,97,65.441,52.1498,9.78,Ust-Tsilma
21,BJ,1666236092,70.45,62,10.3042,1.3796,1.05,Natitingou
100,ID,1666236093,84.99,70,-7.0167,113.8667,5.93,Sumenep
100,PH,1666236093,74.35,97,17.4189,121.4443,3.65,Tabuk
100,TO,1666236093,75.36,94,-21.2,-175.2,6.91,Vaini
75,SO,1666236094,73.96,86,0.0722,42.7506,6.4,Jamame
100,RU,1666236094,34.21,96,69.4865,88.3972,15.84,Talnakh
100,GE,1666236094,51.37,94,41.9563,42.9566,1.43,Khani
96,MW,1666236095,65.39,61,-11.0186,33.8575,8.37,Rumphi
97,AU,1666236095,63.59,81,-33.65,115.3333,14.34,Busselton
98,RU,1666236095,36.77,82,54.3419,101.5036,2.51,Kuytun
48,RU,1666236096,5.2,89,64.5667,143.2,5.35,Ust-Nera
31,NZ,1666236096,61.32,67,-35.1667,173.1667,13.56,Ahipara
20,MU,1666236097,68.38,77,-20.5167,57.5167,0.0,Souillac
98,RU,1666236097,34.16,85,62.1675,49.0916,10.78,Yarensk
40,AR,1666236097,35.26,87,-54.8,-68.3,11.5,Ushuaia
64,NU,1666236098,80.49,74,-19.0595,-169.9187,6.91,Alofi
77,ET,1666236098,46.92,66,10.6,39.4333,5.95,Were Īlu
100,RU,1666236098,43.99,54,52.225,141.5131,11.61,Lazarev
4,GL,1666236099,34.05,70,60.1432,-45.2371,31.94,Nanortalik
0,CL,1666236002,55.04,76,-33.0393,-71.6273,2.3,Valparaíso
7,PT,1666236060,58.08,96,40.1629,-8.3327,5.66,Lata
6,AU,1666236099,71.2,54,-37.8333,140.7667,8.57,Mount Gambier
71,NZ,1666236100,48.06,89,-46.2817,169.8464,17.56,Kaitangata
28,NC,1666236100,77.43,71,-20.2333,164.0167,7.02,Poum
100,IS,1666236100,43.47,77,63.4427,-20.2734,8.59,Vestmannaeyjar
100,RU,1666236101,35.91,96,51.6828,102.1408,3.47,Kyren
2,RU,1666236101,59.14,55,42.9019,133.9064,16.02,Preobrazheniye
100,CA,1666236101,50.22,95,51.226,-58.6502,15.48,Saint-Augustin
92,PH,1666236102,85.33,73,10.9995,122.6711,5.03,Dingle
99,ET,1666236102,55.78,88,5.65,37.3667,0.94,Gīdolē
100,US,1666236018,83.28,79,19.7297,-155.09,3.44,Hilo
20,CA,1666236074,43.32,93,62.456,-114.3525,12.66,Yellowknife
49,CL,1666236103,50.32,91,-37.6167,-73.65,4.85,Lebu
13,UZ,1666236103,43.52,81,40.4272,71.7189,2.3,Yangi Marg`ilon
94,BR,1666236103,59.92,96,-24.7911,-50.0119,2.57,Castro
97,BR,1666236103,79.2,78,-1.195,-46.02,9.6,Carutapera
77,AU,1666236104,67.86,71,-33.8667,121.9,18.25,Esperance
100,RU,1666236104,39.58,86,56.0055,71.5113,10.29,Krutinka
74,CN,1666236105,44.08,39,50.7833,121.5167,6.8,Genhe
0,JP,1666236052,67.66,50,33.2833,134.15,9.33,Muroto-misakicho
44,ZA,1666236105,55.94,94,-34.5322,20.0403,6.51,Bredasdorp
26,MX,1666235952,80.62,84,22.8909,-109.9124,11.3,Cabo San Lucas
100,RU,1666236105,31.48,85,60.3725,93.0408,5.73,Severo-Yeniseyskiy
7,AU,1666236106,67.87,44,-42.7826,147.0587,3.0,New Norfolk
93,TL,1666236106,76.51,59,-8.9266,125.4092,1.23,Airai
3,ZA,1666236106,65.41,61,-29.038,24.6028,8.84,Ritchie
0,CL,1666235945,37.51,75,-53.15,-70.9167,18.41,Punta Arenas
71,KI,1666236107,82.22,67,3.0707,172.7902,10.78,Butaritari
100,PT,1666236107,74.01,90,32.6667,-17.1,12.84,Ponta do Sol
75,VU,1666236107,86.67,79,-13.8833,167.55,6.91,Sola
100,US,1666236108,28.42,93,71.2906,-156.7887,10.36,Barrow
100,GL,1666236108,35.76,97,65.6145,-37.6368,7.34,Tasiilaq
75,SJ,1666236108,28.24,64,78.2186,15.6401,11.5,Longyearbyen
40,MZ,1666236109,77.09,69,-16.1564,33.5867,11.5,Tete
100,BR,1666236109,71.94,90,-22.9661,-42.0278,27.22,Arraial do Cabo
65,UY,1666236109,57.94,98,-33.6971,-53.4616,5.77,Chui
100,MX,1666236110,58.44,86,17.4667,-98.6167,1.41,Xalpatlahuac
0,AU,1666236110,77.59,32,-25.2406,130.9889,3.96,Yulara
100,AR,1666236110,56.43,94,-38.5473,-58.7368,9.53,Necochea
30,BR,1666236111,72.77,81,-17.7125,-39.2481,6.76,Caravelas
94,MV,1666236077,80.29,77,-0.6,73.0833,9.04,Hithadhoo
100,AU,1666236111,67.86,99,-28.9833,153.4167,12.26,Bagotville
34,RU,1666236111,36.57,87,63.05,179.3167,8.32,Beringovskiy
100,TZ,1666236112,61.29,91,-3.5864,30.7203,3.22,Kibondo
20,US,1666236044,67.08,71,45.5234,-122.6762,5.99,Portland
75,KZ,1666236112,48.18,46,47.8043,67.7144,17.9,Zhezkazgan
40,GF,1666236112,77.04,94,4.9333,-52.3333,2.3,Cayenne
1,JP,1666236091,70.41,55,31.4583,131.2333,12.03,Kushima
96,PG,1666236113,85.77,67,-3.1374,142.3475,7.45,Aitape
20,PT,1666236113,63.5,77,37.7333,-25.6667,5.75,Ponta Delgada
23,MU,1666236061,72.09,66,-20.2078,57.7625,10.47,Quatre Cocos
98,CL,1666236114,50.02,90,-37.7167,-72.2333,3.38,Mulchén
0,RE,1666236114,72.91,53,-21.3393,55.4781,4.61,Saint-Pierre
100,RU,1666236114,34.45,96,63.9333,31.65,8.14,Muyezerskiy
100,CA,1666236115,30.24,93,65.282,-126.8329,10.36,Norman Wells
100,ID,1666236115,78.91,80,-3.8004,102.2655,2.28,Bengkulu
43,ML,1666236115,82.4,16,22.6783,-3.9836,14.38,Taoudenni
100,RU,1666236116,8.96,85,67.6333,134.6333,2.21,Batagay
38,RU,1666236116,1.49,95,71.9167,114.0833,2.98,Saskylakh
100,RU,1666236116,1.54,98,70.6333,147.9167,5.32,Chokurdakh
85,US,1666235824,68.52,48,35.1322,-118.449,4.0,Tehachapi
10,RE,1666236117,70.18,69,-21.3667,55.6167,7.72,Saint-Joseph
88,IN,1666236117,78.71,85,12.1,75.2,3.38,Payyanur
100,ID,1666236117,87.69,67,-5.1241,120.253,6.08,Sinjai
0,ZA,1666236118,70.74,83,-33.0153,27.9116,21.85,East London
32,BR,1666236118,70.29,95,-9.8756,-56.0861,3.06,Alta Floresta
0,MA,1666236119,68.07,60,31.6315,-8.0083,3.44,Marrakesh
0,JP,1666236119,65.57,46,35.1333,140.3,10.94,Katsuura
100,CA,1666236119,56.28,96,47.6666,-52.7314,11.5,Torbay
100,CA,1666236120,32.16,100,55.7435,-97.8558,2.3,Thompson
98,DE,1666236120,54.12,92,51.5667,6.7333,7.94,Dinslaken
40,IN,1666236120,78.55,63,25.5198,90.2201,3.4,Tura
46,MU,1666236121,72.46,62,-19.9842,57.6142,5.01,Cap Malheureux
95,RU,1666236121,23.56,96,68.75,161.3,7.85,Cherskiy
58,NZ,1666236121,56.8,71,-46.6,168.3333,30.96,Bluff
69,CN,1666236122,65.01,24,42.2683,118.9636,10.85,Chifeng
26,AO,1666236123,62.64,89,-15.1961,12.1522,8.05,Mossamedes
40,BR,1666236124,77.0,76,-5.1989,-35.4608,16.26,Touros
57,BR,1666236124,74.84,93,-3.3836,-57.7186,2.66,Maués
100,RU,1666236125,29.01,89,69.7008,170.3133,5.19,Pevek
99,GB,1666236125,50.94,84,58.2093,-6.3865,1.99,Stornoway
75,BR,1666235870,69.94,97,-20.3297,-40.2925,2.3,Vila Velha
14,BR,1666236126,79.11,83,-3.41,-39.0306,16.2,Paracuru
3,NA,1666236127,64.81,66,-17.9333,19.7667,4.23,Rundu
0,AR,1666236127,67.98,94,-27.3671,-55.8961,9.22,Posadas
47,GH,1666236127,76.1,90,4.8845,-1.7554,7.16,Takoradze
100,US,1666236122,44.19,98,42.097,-79.2353,10.36,Jamestown
90,PG,1666236128,86.77,62,-3.6667,152.4333,5.7,Namatanai
100,AU,1666236128,71.06,85,-34.5833,150.8552,3.0,Flinders
36,FR,1666236129,69.89,87,43.0982,5.8847,8.86,La Seyne-sur-Mer
99,AR,1666236052,65.68,39,-43.3002,-65.1023,17.16,Rawson
1,IN,1666236129,77.0,56,25.9333,81.9833,1.25,Bela
0,US,1666236062,49.55,76,41.3712,-73.414,3.44,Bethel
100,RU,1666236130,37.29,71,66.8333,70.8333,17.72,Yar-Sale
20,NG,1666236130,70.93,58,10.3999,5.4695,0.2,Kontagora
100,CN,1666236131,79.65,19,23.9051,112.1931,1.1,Huaicheng
100,CI,1666236131,74.32,93,4.7485,-6.6363,3.62,San-Pédro
98,PE,1666236131,62.2,83,-5.0892,-81.1144,13.56,Paita
100,GL,1666236132,18.01,91,72.7868,-56.1549,7.23,Upernavik
100,US,1666236079,51.69,76,57.0531,-135.33,10.36,Sitka
100,ES,1666236133,67.96,49,41.3535,-1.6432,22.1,Calatayud
28,RU,1666236133,33.49,67,52.4675,96.11,2.86,Toora-Khem
92,BR,1666236133,78.46,81,3.0833,-59.95,2.35,Bonfim
99,BO,1666236134,76.71,83,-14.8333,-64.9,3.91,La Santisima Trinidad
72,BR,1666236134,62.82,94,-30.1811,-50.2056,5.75,Cidreira
28,ZM,1666236135,62.08,47,-14.7833,24.8,4.72,Kaoma
20,BR,1666236135,73.49,80,-17.3411,-39.2208,8.32,Prado
0,MR,1666236136,73.38,68,20.931,-17.0347,17.27,Nouadhibou
100,US,1666236136,42.85,79,42.2506,-75.833,10.36,Broome
100,KZ,1666236136,40.8,91,52.5369,62.4936,7.14,Līsakovsk
100,RU,1666236137,25.27,72,60.4667,166.1,9.01,Tilichiki
29,BR,1666236137,62.89,94,-22.5761,-44.9628,3.69,Cruzeiro
6,NA,1666236138,60.1,88,-22.9575,14.5053,5.75,Walvis Bay
100,RU,1666236138,35.15,97,67.4667,78.7,16.15,Tazovsky
8,JP,1666236138,76.12,58,28.3667,129.4833,21.79,Naze
100,RU,1666236139,37.6,99,52.9933,58.1014,3.02,Temyasovo
45,NC,1666236139,77.58,70,-20.5667,164.2833,13.38,Koumac
40,US,1666235848,84.22,66,20.8947,-156.47,8.05,Kahului
75,CA,1666236140,56.79,35,58.8053,-122.7002,9.22,Fort Nelson
69,CN,1666236140,65.08,25,41.3975,119.6408,17.0,Yebaishou
1,IN,1666235956,75.04,62,22.1833,75.6667,7.29,Māndleshwar
0,BR,1666235901,73.38,94,2.8197,-60.6733,3.44,Boa Vista
100,CA,1666236141,56.08,89,48.9329,-125.5528,1.01,Ucluelet
100,MX,1666236141,76.66,86,16.5167,-98.75,9.42,Barra de Tecoanapa
100,US,1666236008,35.82,92,64.8378,-147.7164,0.0,Fairbanks
100,MX,1666236142,75.25,76,21.2311,-86.731,15.26,Isla Mujeres
0,OM,1666236142,73.49,64,17.0151,54.0924,3.44,Salalah
7,ES,1666236143,55.58,81,43.2686,-7.5406,9.13,Bereda
11,CV,1666236143,77.2,84,16.1833,-22.9167,8.97,Sal Rei
58,MU,1666236144,72.37,62,-20.0064,57.6608,5.01,Grand Gaube
11,IN,1666236144,80.56,27,26.9167,71.9167,10.94,Pokaran
100,ID,1666236079,80.08,79,-3.3667,135.4833,2.04,Nabire
100,ID,1666236145,79.03,87,4.4683,97.9683,2.19,Langsa
100,RU,1666236145,38.77,85,58.3631,82.8265,10.87,Togur
6,IR,1666236145,69.44,65,36.6864,52.5225,6.22,Fereydūnkenār
75,TO,1666236146,83.08,74,-18.65,-173.9833,6.91,Neiafu
100,GA,1666236146,73.81,99,-0.1783,10.7649,2.75,Ndjolé
1,US,1666236147,55.65,84,40.5982,-124.1573,4.18,Fortuna
53,BF,1666236147,82.65,27,14.0354,-0.0345,5.32,Dori
0,US,1666236147,64.85,36,28.017,-97.5169,6.46,San Patricio
98,TD,1666236148,73.56,81,9.3627,17.366,2.39,Goundi
20,PT,1666236148,69.22,83,33.0833,-16.3333,11.5,Camacha
99,CO,1666236148,76.19,91,5.7125,-77.2708,5.55,Nuquí
77,CN,1666236149,64.45,39,35.9122,116.3117,12.88,Zhoucheng
99,CO,1666236149,65.17,95,5.5622,-72.575,4.34,Labranzagrande
100,RU,1666236149,36.36,85,65.5833,-171.0,26.37,Lavrentiya
99,CD,1666236150,68.4,100,-2.95,25.95,2.42,Kindu
100,BS,1666236150,81.39,72,24.9,-76.2,4.23,Rock Sound
51,RU,1666236150,43.18,72,50.6789,156.125,28.68,Severo-Kuril'sk
93,RU,1666236151,48.83,42,51.1983,136.6669,9.89,Gorin
0,TH,1666236151,80.08,44,20.4335,99.8762,2.06,Mae Sai
20,CV,1666236151,75.74,83,14.9215,-23.5087,4.61,Praia
92,PG,1666236152,85.75,66,-2.5744,150.7967,7.78,Kavieng
100,AR,1666235894,59.95,94,-38.0023,-57.5575,14.0,Mar del Plata
100,RU,1666236152,35.76,58,68.0531,39.5131,34.11,Ostrovnoy
25,TC,1666236153,82.74,76,21.4612,-71.1419,10.71,Cockburn Town
30,NA,1666236153,59.65,87,-26.6481,15.1594,18.34,Lüderitz
5,CN,1666236153,63.34,45,27.3125,105.2942,6.44,Bijie
96,BR,1666236154,73.56,92,-11.1753,-61.9014,0.67,Presidente Médici
40,CA,1666236154,46.71,68,51.5667,-101.9009,4.54,Kamsack
10,DO,1666236154,70.9,91,18.55,-70.5,3.49,San José de Ocoa
0,GL,1666236155,35.82,61,60.9167,-46.05,11.05,Narsaq
0,US,1666235957,50.02,49,35.6234,-95.9605,4.61,Okmulgee
2,SD,1666236155,80.47,79,19.1059,37.3321,0.4,Sawākin
100,NO,1666236155,41.76,87,62.5833,6.1333,9.22,Roald
100,MX,1666236156,57.24,75,18.7,-97.7833,8.32,Xochitlan Todos Santos
0,NA,1666236082,65.41,58,-20.3667,14.9667,1.32,Khorixas
15,ES,1666236156,59.85,87,42.7762,-9.0603,28.68,Muros
85,RO,1666236157,45.52,84,46.4333,26.4,4.29,Asău
65,TR,1666236157,53.31,71,40.5498,42.0013,3.85,Oltu
20,NP,1666236157,61.12,77,27.6298,85.5214,0.0,Banepā
100,CN,1666236158,56.23,38,41.7597,86.1469,18.19,Korla
67,ES,1666236158,46.18,60,42.25,-2.5,8.52,La Rioja
0,SA,1666236158,55.51,31,18.3851,42.4509,4.27,Faya
21,CN,1666236159,66.87,58,29.9576,122.298,10.0,Shenjiamen
100,GB,1666236159,45.64,68,60.3964,-1.353,11.9,Brae
77,RU,1666236160,16.57,88,71.6872,128.8694,17.4,Tiksi
0,US,1666236160,42.91,47,33.194,-82.5271,6.67,Avera
89,IN,1666236160,79.21,86,14.4167,74.4,2.59,Kumta
0,GR,1666236161,62.87,61,37.8312,23.8081,7.14,Vári
100,AU,1666236048,70.61,82,-35.1167,147.3667,10.8,Wagga Wagga
10,SK,1666236161,43.05,99,48.9371,21.9163,5.75,Humenné
100,RU,1666236162,27.07,92,58.8353,125.4869,10.07,Nizhniy Kuranakh
68,CV,1666236162,78.48,82,14.8961,-24.4956,1.28,São Filipe
100,CN,1666236162,67.82,54,31.7667,104.7167,2.44,Jiangyou
100,KZ,1666236163,41.11,59,47.9714,80.4392,20.65,Ayagoz
4,SA,1666236163,64.85,16,26.326,43.975,6.13,Buraidah
98,BR,1666236163,74.79,97,-4.085,-63.1414,1.77,Coari
61,RU,1666236164,31.73,91,61.3133,63.3319,7.02,Yugorsk
2,AU,1666236164,71.94,62,-24.8667,113.6333,11.88,Carnarvon
20,MY,1666236164,86.05,74,1.2376,111.4621,1.14,Sri Aman
20,RU,1666235910,13.98,93,68.0546,166.4372,3.71,Bilibino
94,LK,1666236165,82.18,73,6.1241,81.1185,20.15,Hambantota
79,ID,1666236165,83.98,72,-5.6667,132.75,2.86,Tual
96,BR,1666235900,74.05,97,-0.4139,-65.0192,2.59,Santa Isabel Rio Negro
11,RU,1666236165,0.41,85,69.3,139.9,5.23,Deputatsky
0,US,1666236166,74.8,38,39.5138,-121.5564,4.61,Oroville
100,KZ,1666236166,43.34,58,48.5722,83.6542,9.01,Kurchum
100,AR,1666236166,58.39,94,-31.4241,-64.4978,1.99,Villa Carlos Paz
5,PL,1666236167,37.31,95,51.1798,22.1309,6.17,Poniatowa
0,US,1666235970,79.56,36,36.6777,-121.6555,5.75,Salinas
0,CN,1666236167,47.35,76,43.801,87.6005,2.24,Ürümqi
31,IR,1666236167,49.44,50,29.6036,52.5388,0.0,Shiraz
100,ES,1666236168,70.18,94,35.2937,-2.9383,0.0,Melilla
80,PE,1666236168,73.78,97,-5.2269,-75.6753,0.89,Lagunas
100,ID,1666236169,85.87,65,2.9845,99.6158,3.51,Kisaran
15,US,1666236169,40.98,55,39.447,-86.1758,7.49,Bud
100,AR,1666236169,63.63,88,-27.7951,-64.2615,13.4,Santiago del Estero
100,RU,1666236170,19.42,96,71.9667,102.5,3.33,Khatanga
0,US,1666235918,75.02,68,34.6391,-120.4579,8.05,Lompoc
53,CV,1666236170,75.99,82,15.1333,-23.2167,7.49,Vila do Maio
35,GF,1666236170,78.89,87,5.3833,-52.95,9.28,Sinnamary
100,SV,1666236171,73.17,98,13.5333,-88.25,0.49,Moncagua
100,CN,1666236171,66.42,63,28.3669,121.36,9.55,Wenling
18,BR,1666236171,71.37,99,1.0,-52.0,1.97,Amapá
57,NG,1666236172,76.84,35,12.7525,4.7077,4.25,Sabla
